finished hamming 
203 1239,3429,1
204 1237,3429,1
205 1227,3429,1
206 1227,3429,1
207 1223,3429,1
208 1214,3429,1
209 1212,3429,1
210 1211,3429,1
211 1203,3429,1
212 1198,3429,1
213 1198,3429,1
214 1198,3429,1
215 1197,3429,1
216 1195,3429,1
217 1192,3429,1
218 1192,3429,1
219 1188,3429,1
220 1182,3429,1
221 1171,3429,1
222 1131,3429,1
223 1116,3429,1
224 1075,3429,1
225 1072,3429,1
226 1044,3429,1
227 1036,3429,1
228 1030,3429,1
229 1010,3429,1
230 1008,3429,1
231 1000,3429,1
232 983,3429,1
233 979,3429,1
234 974,3429,1
235 964,3429,1
236 962,3429,1
237 956,3429,1
238 952,3429,1
239 948,3429,1
240 944,3429,1
241 940,3429,1
242 932,3429,1
243 931,3429,1
244 931,3429,1
245 922,3429,1
246 922,3429,1
247 913,3429,1
248 913,3429,1
249 909,3429,1
250 907,3429,1
251 901,3429,1
252 896,3429,1
253 894,3429,1
254 889,3429,1
255 889,3429,1
256 886,3429,1
257 884,3429,1
258 884,3429,1
259 878,3429,1
260 874,3429,1
261 874,3429,1
262 874,3429,1
263 871,3429,1
264 870,3429,1
265 870,3429,1
266 868,3429,1
267 859,3429,1
268 855,3429,1
269 853,3420,1
270 853,3412,1
271 849,3412,1
272 849,3396,1
273 845,3396,1
274 842,3380,1
275 842,3368,1
276 841,3368,1
277 833,3364,1
278 830,3332,1
279 817,3320,1
280 803,3268,1
281 781,3212,1
282 771,3124,1
283 770,3084,1
284 768,3080,1
285 762,3072,1
286 753,3048,1
287 748,3012,1
288 748,2992,1
289 746,2992,1
290 746,2984,1
291 712,2984,1
292 693,2848,1
293 680,2772,1
294 679,2720,1
295 661,2716,1
296 661,2644,1
297 646,2644,1
298 604,2584,1
299 590,2416,1
300 587,2360,1
301 567,2348,1
302 531,2268,1
303 529,2124,1
304 522,2116,1
305 519,2088,1
306 498,2076,1
307 496,1992,1
308 491,1984,1
309 480,1964,1
310 461,1920,1
311 458,1844,1
312 449,1832,1
313 439,1796,1
314 438,1756,1
315 436,1752,1
316 422,1744,1
317 371,1688,1
318 369,1484,1
319 356,1476,1
320 356,1424,1
321 348,1424,1
322 342,1392,1
323 315,1368,1
324 309,1260,1
325 303,1236,1
326 298,1212,1
327 284,1192,1
328 266,1136,1
329 260,1064,1
330 255,1040,1
331 249,1020,1
332 245,996,1
333 238,980,1
334 237,952,1
335 224,948,1
336 215,896,1
337 215,860,1
338 212,860,1
339 212,848,1
340 203,848,1
341 202,812,1
342 200,808,1
343 200,800,1
344 196,800,1
345 188,784,1
346 182,752,1
347 181,728,1
348 175,724,1
349 173,700,1
350 170,692,1
351 165,680,1
352 164,660,1
353 160,656,1
354 159,640,1
355 147,636,1
356 146,588,1
357 142,584,1
358 139,568,1
359 137,556,1
360 134,548,1
361 127,536,1
362 122,508,1
363 121,488,1
364 116,484,1
365 112,464,1
366 108,448,1
367 108,432,1
368 107,432,1
369 107,428,1
370 97,428,1
371 94,388,1
372 91,376,1
373 89,364,1
374 88,356,1
375 84,352,1
376 84,336,1
377 84,336,1
378 83,336,1
379 76,332,1
380 75,304,1
381 74,300,1
382 71,296,1
383 71,284,1
384 71,284,1
385 69,284,1
386 63,276,1
387 61,252,1
388 59,244,1
389 59,236,1
390 58,236,1
391 58,232,1
392 57,232,1
393 56,228,1
394 55,224,1
395 52,220,1
396 50,208,1
397 50,200,1
398 49,200,1
399 48,196,1
400 48,192,1
401 47,192,1
402 46,188,1
403 46,184,1
404 43,184,1
405 43,172,1
406 43,172,1
407 42,172,1
408 40,168,1
409 40,160,1
410 40,160,1
411 40,160,1
412 40,160,1
413 39,160,1
414 39,156,1
415 39,156,1
416 37,156,1
417 37,148,1
418 35,148,1
419 32,140,1
420 32,128,1
421 31,128,1
422 30,124,1
423 30,120,1
424 28,120,1
425 28,112,1
426 28,112,1
427 27,112,1
428 27,108,1
429 26,108,1
430 26,104,1
431 25,104,1
432 24,100,1
433 23,96,1
434 22,92,1
435 22,88,1
436 22,88,1
437 22,88,1
438 21,88,1
439 20,84,1
440 20,80,1
441 20,80,1
442 20,80,1
443 19,80,1
444 18,76,1
445 17,72,1
446 15,68,1
447 15,60,1
448 15,60,1
449 14,60,1
450 14,56,1
451 13,56,1
452 13,52,1
453 13,52,1
454 13,52,1
455 12,52,1
456 12,48,1
457 11,48,1
458 11,44,1
459 11,44,1
460 11,44,1
461 10,44,1
462 10,40,1
463 10,40,1
464 10,40,1
465 9,40,1
466 8,36,1
467 8,32,1
468 8,32,1
469 8,32,1
470 7,32,1
471 7,28,1
472 7,28,1
473 7,28,1
474 7,28,1
475 7,28,1
476 6,28,1
477 6,24,1
478 6,24,1
479 6,24,1
480 6,24,1
481 6,24,1
482 5,24,1
483 5,20,1
484 5,20,1
485 5,20,1
486 5,20,1
487 5,20,1
488 5,20,1
489 5,20,1
490 5,20,1
491 4,20,1
492 4,16,1
493 4,16,1
494 4,16,1
495 4,16,1
496 3,16,1
497 3,12,1
498 3,12,1
499 3,12,1
500 3,12,1
501 3,12,1
502 3,12,1
503 3,12,1
504 3,12,1
505 3,12,1
506 3,12,1
507 2,12,1
508 2,8,1
509 2,8,1
510 2,8,1
511 2,8,1
512 2,8,1
513 2,8,1
514 2,8,1
515 2,8,1
516 2,8,1
517 2,8,1
518 2,8,1
519 2,8,1
520 2,8,1
521 2,8,1
522 2,8,1
523 2,8,1
524 1,8,1
525 1,4,1
526 1,4,1
527 1,4,1
528 1,4,1
529 1,4,1
530 1,4,1
531 1,4,1
532 1,4,1
533 1,4,1
534 1,4,1
535 1,4,1
536 1,4,1
537 1,4,1
538 1,4,1
539 1,4,1
540 1,4,1
541 1,4,1
542 1,4,1
543 1,4,1
544 1,4,1
545 1,4,1
3530004881
